index,lat,long
11375,40.7246,73.8458
11377,40.7413,73.9036
11355,40.7493,73.8213
11385,40.6981,73.8948
11373,40.7380,73.8801
11372,40.7528,73.8801
11101,40.7443,73.9419
11368,40.7506,73.8478
11354,40.7699,73.8272
11374,40.7256,73.8625
11434,40.6812,73.7772
11691,40.6024,73.7625
11432,40.7155,73.7919
11435,40.7032,73.8096
11103,40.7634,73.9110
11365,40.7422,73.7890
11367,40.7296,73.8213
11357,40.7851,73.8125
11364,40.7470,73.7537
11358,40.7607,73.7978
11104,40.7449,73.9198
11379,40.7182,73.8801
11413,40.6679,73.7537
11420,40.6764,73.8125
11414,40.6617,73.8478
11412,40.6964,73.7625
11361,40.7623,73.7743
11378,40.7224,73.9095
11421,40.6930,73.8595
11419,40.6900,73.8213
11433,40.6998,73.7860
11360,40.7779,73.7801
11418,40.6967,73.8331
11415,40.7071,73.8287
11423,40.7170,73.7684
11369,40.7659,73.8684
11694,40.5722,73.8625
11422,40.6584,73.7390
11417,40.6736,73.8448
11427,40.7303,73.7443
11692,40.5927,73.7978
11370,40.7594,73.8919
11356,40.7901,73.8478
11429,40.7078,73.7390
11362,40.7613,73.7331
11411,40.6930,73.7390
11426,40.7349,73.7213
11428,40.7226,73.7390
11693,40.6167,73.8272
11004,40.7431,73.7095
11416,40.6854,73.8493
11436,40.6718,73.7978
11366,40.7284,73.7875
11363,40.7729,73.7448
11430,40.6434,73.7890
